Latitude,Longitude
25.8751115,-80.1711961
35.5922211,-85.7201092
,
48.2931316,-105.7670815
27.9711269,-81.7380886
35.680071,-85.8372569
43.1085931,-77.4590099
,
,
30.7182022,-84.9745482
42.4915317,-89.04892819999999
,
25.7712953,-80.18977319999999
,
32.2718859,-82.2603536
,
28.5422694,-81.37732210000001
31.9743215,-101.9767073
,
42.4915345,-83.07131629999999
30.5194222,-92.0794615
39.9698638,-105.1511433
,
26.1410092,-81.8051078
,
30.1965575,-92.2260795
28.5665674,-81.5787448
37.4963814,-122.2600494
,
,
,
,
41.8167277,-113.3183701
40.56670039999999,-107.5066934
41.9467758,-87.6736133
34.3691799,-80.07640540000001
32.553914,-83.8125519
,
,
39.950292,-77.753576
52.7766782,-108.3071956
48.71285760000001,-104.8991239
28.0366571,-81.9574451
,
41.9367635,-85.65177690000002
29.4688983,-98.01896479999999
35.0968639,-90.485489
,
40.6891093,-111.4236635
,
,
36.1890973,-86.3231126
,
,
,
29.18449009999999,-82.3114054
27.9864395,-82.1154648
31.1586929,-85.49568939999999
26.6100059,-81.07910299999999
41.6980909,-87.798375
45.95009470000001,-103.1188967
,
41.6787245,-83.54738429999999
41.6830177,-87.5319511
49.3288877,-123.0587405
26.6971015,-80.6743207
42.6873947,-73.7802985
33.4962321,-112.3890124
,
38.937407,-77.025328
,
30.22702199999999,-92.2711429
,
30.4943192,-92.0892471
30.2037149,-97.9787065
39.5388115,-100.6815329
,
-26.1921247,28.0486017
,
41.78611129999999,-72.6551569
43.5675066,-119.0261524
33.083255,-81.121173
34.4274854,-118.4838055
36.659995,-121.612252
40.5887361,-105.0773997
,
27.9148072,-82.7917354
,
28.6686875,-81.73613859999999
31.586722,-83.05746599999999
44.7367009,-87.502843
42.028664,-87.6800909
42.4756042,-70.9356206
,
30.2543014,-94.09487089999999
50.7125591,-113.9728531
,
,
33.9228648,-118.1799505
38.7659042,-90.74421199999999
27.2645436,-81.4020632
27.1569827,-81.817737
27.9711269,-81.7380886
40.7256737,-73.2413553
47.2975349,-2.3580765
32.1132246,-82.22703539999999
34.9369386,-120.4766971
30.6064457,-90.41521180000001
,
42.12069169999999,-70.75232079999999
,
27.7705854,-98.0821766
27.2233331,-81.7744939
35.8397197,-85.7966813
,
35.8303039,-86.47751509999999
40.13017970000001,-111.5597241
47.5495993,-122.1452742
39.7434502,-89.102871
29.7419272,-81.47461229999999
30.5689239,-92.4770889
30.569283,-92.474374
,
,
39.2055762,-100.4639762
40.76715240000001,-111.8975193
37.9762001,-84.4644418
38.2690563,-77.5303547
,
35.3456486,-80.5753086
,
,
,
32.7308911,-115.529718
,
,
,
39.3427433,-100.322481
33.7930536,-117.3849044
42.8311796,-84.22204339999999
34.0417114,-118.244382
,
34.782534,-77.2046337
27.7507213,-81.8093272
,
38.135779,-98.2710343
,
30.721455,-86.048191
33.21891859999999,-117.2576983
,
38.2056858,-120.3725067
,
33.4637974,-112.4669571
38.547604,-121.8384109
,
36.659375,-121.6128806
32.239083,-82.14209489999999
,
31.0743362,-83.39001379999999
40.39437969999999,-74.4311932
47.816292,-108.675841
36.1039753,-79.9840055
,
30.660289,-92.1957992
30.1548494,-93.094903
26.587779,-81.4597703
41.2570368,-82.311595
25.8005035,-80.2476633
42.7269427,-89.09067069999999
27.970792,-82.4796088
,
,
41.5578478,-75.5940099
,
,
27.2298774,-81.9228103
33.3038054,-90.1956902
36.6243556,-121.5507135
,
,
,
30.5567092,-83.0887923
42.4987968,-74.6166192
-16.9449735,145.7418606
40.0230745,-75.13761579999999
30.3621825,-92.3394166
30.2962071,-92.3986721
,
,
31.5458903,-87.9262273
28.1938289,-82.52037039999999
,
,
42.2745105,-83.73427140000001
31.7965155,-82.3504172
33.6823019,-91.8479795
,
,
,
46.2305906,-119.0974711
36.6590514,-78.55417659999999
,
,
30.1905604,-82.5810834
31.3259637,-83.5861214
27.2484694,-81.3965465
36.6243556,-121.5507135
39.6075208,-86.06366229999999
26.7487232,-81.4319216
38.1431112,-85.6437088
30.5672446,-92.4152762
27.2105015,-81.8547189
35.0378356,-120.4834287
35.6964363,-82.557666
40.7277257,-85.2275463
41.2570368,-82.311595
27.2426347,-81.8400667
,
26.3332375,-81.73173589999999
37.440438,-77.3094674
53.5047827,-113.4098696
,
41.4963405,-81.6719914
,
43.9507968,-116.9181347
41.2478218,-75.863463
35.8623372,-101.9729933
26.7420052,-81.4097527
26.1906486,-98.2685381
,
35.6611272,-85.8465934
35.9328326,-78.7728496
39.1819501,-97.6643225
,
28.7858001,-100.4723835
33.8788496,-80.3341444
36.1049661,-87.1879719
,
36.734992,-121.676205
39.1819828,-78.1678439
-25.787996,28.1070867
29.1218045,-81.04002799999999
39.9475416,-75.1496575
35.5981949,-85.91635910000001
,
,
42.6672362,-78.8396867
30.641033,-92.43583199999999
42.9862454,-87.9163509
,
,
27.2089146,-81.85815540000002
29.7695648,-96.1613787
43.7060934,-112.0061153
41.77119320000001,-111.7995464
40.7300998,-119.5230048
29.76830529999999,-95.3543526
28.4490118,-81.2814741
33.7790508,-117.7792763
42.9059926,-122.4467915
29.7549297,-95.39307149999999
39.221246,-75.7188043
,
,
34.2607459,-77.83897929999999
,
30.4676999,-92.6543714
30.56854479999999,-92.4193268
27.4821384,-81.47849939999999
33.7102926,-89.4683132
26.2790461,-98.17926159999999
35.822279,-85.81309519999999
,
42.8785428,-78.83943169999999
,
,
43.15545609999999,-77.6062579
45.390285,-75.683537
36.0758936,-79.9088178
27.9812282,-82.2158596
40.73845350000001,-73.9912046
27.2868659,-81.36410959999999
25.778502,-80.1935194
36.7790786,-121.6651349
32.0169705,-82.36656219999999
,
27.1218918,-81.8266732
,
33.7646967,-89.7031424
37.5201674,-96.3260286
,
31.780275,119.9575831
28.7463453,-81.6221727
32.7303671,-115.524995
,
45.1780583,-123.1240436
35.0572072,-90.0597987
,
28.9921542,-81.23044329999999
,
,
30.1589272,-92.17161139999999
44.6308053,-89.1737172
,
33.3875274,-112.4772012
37.4756341,-100.9397484
36.4503329,-102.4320363
,
34.8459705,-79.8577282
,
34.1387519,-118.4121345
,
32.4854588,-93.7750665
,
34.6901834,-82.2530453
39.9640721,-76.748025
33.7844228,-118.1849531
,
32.7341904,-96.6602277
31.3373368,-85.5960521
,
32.2888981,-82.21152630000002
,
,
,
,
28.6781855,-81.5112276
36.0249789,-101.8467483
43.7294738,-72.2793313
42.0347271,-78.4400256
36.0870171,-90.8562321
42.8358865,-83.72830859999999
36.3802535,-75.8309245
35.81210799999999,-90.7032988
41.7083778,-103.2921154
31.2415098,-83.630003
51.91815039999999,-0.6356064
27.7697984,-82.64150149999999
45.2028639,5.1371315
36.6195405,-121.5578691
41.9050166,-71.4822256
39.9610657,-77.2875353
48.7635928,-102.048243
41.6781238,-83.5673114
,
30.2405098,-92.67635349999999
,
,
,
,
,
36.0678561,-83.655625
,
,
47.5730613,-122.4147947
27.604863,-81.4986359
,
,
,
,
30.9802765,-96.6741101
,
,
30.0732965,-92.145074
39.9654523,-104.8168003
30.32777089999999,-92.3850798
,
30.4580358,-92.24412149999999
,
35.6795484,-78.7189989
,
,
30.436103,-92.2352219
,
,
30.231897,-92.79565799999999
35.5260839,-82.9587189
,
,
,
,
-37.7999885,144.9840933
40.7624718,-111.8894982
37.8096754,-100.8353144
,
,
,
,
30.4050429,-92.37318619999999
,
32.62561,-93.7423817
42.4096351,-71.0387095
,
41.1330945,-111.7722368
,
32.1574351,-82.90712300000001
40.1339691,-83.01725139999999
29.8311397,-95.6887173
45.01208219999999,-93.66847829999999
39.5377583,-89.6906388
,
,
,
54.6260996,-5.9435706
,
44.485822,-96.392797
,
43.70044350000001,-98.2457124
,
38.9380912,-77.04493269999999
30.2457152,-92.40244520000002
36.0935553,-95.9446186
30.1904426,-92.2938243
,
,
27.2847688,-81.88799039999999
51.0699244,-0.3075924
40.7603097,-111.8806103
37.6939568,-97.33865089999999
48.358055,-111.8575549
49.2668149,-123.1140796
,
28.0081635,-82.22452919999999
30.1609923,-92.1811877
,
30.24985319999999,-91.2395955
,
40.73845350000001,-73.9912046
,
,
40.6116536,-73.9510301
33.4171132,-84.7529732
27.3234761,-81.98233259999999
40.3494339,-79.7510558
,
33.952482,-83.3932071
32.459488,-88.652587
,
33.8713553,-81.3100754
41.3495991,-74.2877323
40.4789211,-80.07790070000001
30.15456,-98.0342975
27.4021403,-80.4713877
30.1664371,-92.1428947
30.2284213,-92.3051634
39.661696,-75.587362
,
,
42.9628354,-97.73884550000001
33.9812131,-84.15406589999999
39.8740504,-86.8928366
41.7880064,-111.1038012
45.870857,-105.229879
37.4226736,-121.0929201
34.8636585,-79.8375085
39.1501739,-108.636829
,
,
40.7670953,-76.9360268
38.9211845,-121.2742473
38.5753045,-122.8339457
,
33.3723729,-90.810345
,
47.36063799999999,-122.6270301
42.3047219,-83.4819418
,
27.2472768,-81.4041434
32.459488,-88.652587
30.3795771,-92.6637899
36.0697332,-79.8151522
,
,
,
,
30.077042,-81.616146
36.2,-86.52
29.3444459,75.214473
43.7028408,-79.481743
40.3922214,-111.8206799
,
,
27.2388384,-81.39775080000001
32.4724044,-97.2255022
29.9475748,-91.7894081
45.02073,-93.11246009999999
,
,
30.6317232,-90.491309
44.8416106,-0.5810938000000001
,
43.1832253,-78.6955397
38.91191999999999,-84.6448489
37.3724991,-85.40561389999999
45.23037000000001,-112.6280299
,
30.3272703,-92.87768109999999
35.4415079,-80.7639323
38.4319863,-77.99670429999999
43.102495,-76.196572
40.7373334,-74.00961389999999
,
30.9732104,-97.5346454
31.2200824,-97.10500809999999
38.4893581,-121.8776477
27.7838214,-82.42725980000002
47.4261056,-107.3304108
37.7976699,-122.414469
,
39.4383173,-77.0549703
,
,
45.2359124,-122.9093575
39.8284986,-104.9876449
32.4451223,-93.6072236
,
35.8085884,-85.7935832
34.161548,-84.11948319999999
,
35.4171839,-83.69318559999999
,
27.5774276,-81.8314572
36.0768567,-79.79034949999999
,
37.7783006,-98.23464969999999
30.3561477,-92.2647118
,
,
,
,
34.160686,-91.3084841
,
38.92169,-76.99021859999999
,
,
,
38.9401543,-75.5653782
35.4040539,-119.1119993
-26.9468463,114.7142918
29.2360889,-82.27522259999999
,
32.7365917,-97.00377999999999
40.5670701,-105.0675116
,
41.14443199999999,-81.8431214
40.1147848,-88.22189879999999
32.9783991,-97.280424
33.7872678,-90.6685595
29.24824,-98.33716199999999
,
,
41.74441729999999,-103.1671529
49.1653833,-88.3494633
,
,
,
38.8996244,-77.0197138
47.8762112,-122.2430818
44.7522897,-92.9331737
30.3572976,-92.8512978
45.24299930000001,-98.59886329999999
,
35.1101797,-77.0149964
,
,
38.3748574,-100.9321559
39.1295512,-83.6346978
,
,
,
30.82547989999999,-83.9870952
40.7555667,-73.8695048
29.4939366,-98.60450370000001
30.2902566,-92.6633562
,
40.737015,-73.77786119999999
,
48.4448328,-101.9088092
39.9189016,-75.3911746
40.7332198,-74.00975960000001
26.7537912,-80.9373731
36.2423449,-102.8531514
,
30.2813301,-92.414998
51.4063545,-0.2875542
39.5629351,-85.7915853
31.0150382,-89.73350169999999
,
,
43.8792871,-117.0054778
,
,
40.407166,-104.8172501
43.16555779999999,-76.0913612
,
37.8735165,-98.8392384
,
,
26.7465098,-81.42446290000001
30.5208489,-92.5926985
42.91104,-97.418403
,
,
,
34.121297,-78.6832189
,
,
38.4984676,-100.8534455
30.142536,-92.223961
,
35.2818687,-86.05484560000001
,
35.9541161,-81.0975397
40.5158739,-105.034902
30.3642879,-92.363258
32.9008515,-86.7146288
,
34.0776583,-80.9482702
,
,
-37.9944075,144.5044896
30.7588958,-97.72446289999999
33.9892601,-117.3665295
39.11623549999999,-108.3729643
,
30.1243103,-92.39430159999999
34.8599069,-86.5906679
34.2375166,-91.76084139999999
,
26.6270355,-81.8857572
,
,
43.891365,-79.232015
43.5729809,-106.5076344
-28.1360717,153.3801155
38.8654076,-121.3146264
42.12077619999999,-87.89651980000001
,
30.6405835,-92.46104679999999
44.9466362,-93.3346998
,
,
27.2665006,-80.4100928
,
,
,
31.4469358,-83.6148529
,
45.8789922,-119.8985527
26.7357847,-80.9035576
44.9332584,-122.973394
34.9674085,-80.61096959999999
,
,
47.81173,-122.1762329
30.198807,-97.6884661
,
,
51.8837409,5.2423804
48.1983892,-102.9198889
35.6190596,-98.59602459999999
43.8176073,-73.2476673
37.7357449,-122.1736203
42.6221565,-114.824872
30.3433118,-92.5163936
30.3093762,-92.52065879999999
30.1967997,-92.228644
43.2876185,-77.6847725
33.6382838,-112.1744301
,
34.1204868,-86.8926638
35.2416836,-101.6865933
33.1738174,-117.364581
-33.9975568,151.1358498
42.9821477,-78.7312354
,
,
30.4026468,-92.5001083
,
30.3071582,-92.8695082
,
38.255296,-90.91981059999999
47.7285559,-117.4565963
,
,
,
,
30.7469136,-88.27462539999999
29.6886944,-97.17849989999999
33.2794491,-111.7897697
,
27.0146041,-81.7578012
,
27.3059974,-81.36682669999999
40.6883533,-105.0296441
,
44.6930813,-69.7297634
27.9899857,-81.9629218
,
30.3935229,-92.57456379999999
30.358438,-91.88566279999999
36.9374298,-85.4502261
46.8911036,-100.6967815
38.9041198,-77.0501157
48.1300751,-95.894684
42.2328088,-84.4742483
47.1036468,-122.4404286
30.3809094,-92.4952885
,
44.8804133,-73.4299637
31.6417025,-100.3404535
,
30.4804201,-92.6043602
53.5182496,-113.4223437
34.4603381,-92.1843471
37.5609103,-120.8455382
,
40.0789321,-76.6130654
30.3638289,-92.36654999999999
42.3292849,-88.9873023
,
,
27.5208771,-81.752799
,
41.4721245,-75.710059
,
27.2786907,-81.4158162
,
38.7426907,-85.84989139999999
30.42310419999999,-92.29878769999999
33.5557601,-86.7341072
38.7659042,-90.74421199999999
30.3922144,-92.3430274
,
34.9573584,-81.10126009999999
37.8233223,-122.3042376
,
53.5047827,-113.4098696
37.9418219,-96.7515814
30.4945312,-92.36312129999999
30.3802505,-92.7050175
38.8549529,-83.11169749999999
44.7077885,-79.38626169999999
34.8400075,-102.3787163
30.7034945,-88.374988
,
44.3161099,-92.8478932
,
,
30.3859544,-92.3218158
,
36.5779132,-82.3346373
45.177656,-113.860501
45.1515471,-93.6353567
51.59621420000001,-1.2484959
,
35.3638256,-99.42878569999999
27.926021,-82.12676700000002
26.7338553,-80.8953542
33.1517954,-82.3620464
28.326965,-81.84635290000001
39.106985,-75.543192
,
26.0914671,-80.2261116
,
34.0120307,-81.1348854
31.46901549999999,-82.3786602
33.8192912,-90.6467887
30.0292428,-97.7506116
40.7369186,-73.89529639999999
,
29.8541232,-95.262314
44.638531,-112.9740113
42.08243,-110.981339
31.2352431,-100.6185289
49.3740801,-115.2210001
,
,
,
,
,
42.2324707,-84.4574944
30.3254711,-92.3241895
,
40.083189,-111.679943
,
41.3195635,-110.3819185
30.7828824,-88.27209309999999
26.5259259,-81.56455969999999
30.0397765,-92.5021088
49.8856803,-97.1492161
,
,
41.5211031,-80.0670348
42.2014637,-75.8766333
,
34.0702484,-83.72140259999999
,
40.7625703,-111.8805582
28.70302629999999,-81.73183759999999
30.34823,-81.6370872
27.489872,-81.846492
30.3510168,-92.7738047
29.8132065,-95.1606594
31.094772,-92.363901
45.1546685,-110.9629495
40.37816770000001,-75.4180494
28.0992409,-82.6939593
,
43.9532666,-78.8960821
33.8238661,-81.6980136
45.8441854,-119.2940015
,
39.1293979,-81.023515
32.7977639,-84.0289276
38.4914127,-107.8706432
29.7686548,-98.5782515
,
31.2386016,-89.46557729999999
31.7227658,-91.2785135
30.3646953,-92.7723724
36.9621524,-122.0449369
42.3064655,-82.8866269
,
33.6145606,-93.6022157
,
,
38.5995159,-90.4082712
40.8855685,-101.5337714
38.0444031,-122.5397191
,
32.4756877,-95.443208
30.74517519999999,-89.0568918
,
43.2447796,-79.8289421
32.8914289,-97.32961739999999
,
39.0095646,-94.6371336
39.8704721,-108.2897529
30.13779419999999,-91.9708343
34.821889,-83.97739899999999
29.4218647,-98.6747403
,
41.0502934,-104.3803705
40.6749385,-73.8426131
,
40.0402795,-74.3089373
38.235851,-85.36529589999999
30.4537222,-92.4492887
-29.5456289,30.4109983
,
,
26.0297254,-80.1688184
30.240501,-92.496585
36.6258034,-83.7013355
39.5129778,-76.3702402
,
,
29.9647979,-82.17764199999999
,
,
38.815245,-108.326501
40.7652757,-111.8854749
,
41.8079169,-112.1645094
40.564982,-76.2945326
39.903198,-75.892853
30.4842638,-88.2175715
,
37.5191155,-77.4375611
44.5534845,-103.8914578
41.9655868,-88.1178842
,
42.2319003,-87.947475
30.560787,-92.4359516
34.023215,-78.879573
30.1075204,-93.0132353
,
54.8901177,-105.7517438
,
,
32.6355242,-96.7663982
41.4307117,-75.9680257
30.049669,-92.640553
30.8996949,-90.0936761
32.905819,-88.3693989
,
30.1403281,-92.5506252
30.2447006,-92.498441
38.9581763,-121.0141053
30.2872624,-92.23188069999999
34.5839279,-90.1529554
29.3519958,-81.49986609999999
,
39.1382424,-86.1634397
31.3952297,-88.90306
,
,
,
,
,
,
14.7316555,121.065549
52.6563346,-1.1172603
46.88874,-112.121782
,
39.8291056,-85.8078115
,
44.784388,-108.70402
,
50.0091624,6.047745
42.9921223,-83.7325987
45.4867135,-122.319924
30.2260403,-92.3866012
,
35.8279441,-78.5926212
34.1841239,-118.3224471
30.1974567,-92.2283753
,
30.5139601,-92.4156251
40.6019851,-74.19189089999999
30.2196661,-92.3291431
,
,
30.2478945,-92.49836409999999
38.9380912,-77.04493269999999
,
,
30.4061572,-92.3688564
,
41.7633506,-72.507697
,
,
,
40.6767692,-73.8442032
,
38.7717451,-121.3466022
,
34.2340185,-83.6735729
42.8097141,-114.8926489
40.1390126,-122.1289847
33.3845775,-112.1149602
20.041685,-155.477726
31.5404471,-93.002381
41.6460484,-103.0100226
31.2085421,-83.58369809999999
,
39.2144513,-94.38076389999999
20.8886956,-156.5011612
41.7203252,-84.9983866
47.3437704,-120.2596901
34.0542882,-118.2606735
28.8825017,-81.953389
36.5738351,-121.9433583
46.5944015,-81.0390005
30.5689111,-90.21511459999999
38.83697009999999,-119.1682539
,
40.7692998,-73.8426516
28.5208885,-81.2405169
38.9211845,-121.2742473
30.803903,-88.33600249999999
32.2449154,-90.168099
,
30.3421193,-92.71024589999999
43.3531266,-103.3818561
30.0834817,-96.08335799999999
35.06900050000001,-114.4339949
38.8980013,-76.9776613
26.20583,-81.8013412
32.002577,-82.08359290000001
,
-36.9106167,174.726095
-38.0385481,145.4219157
30.281339,-92.430234
35.715167,-90.671765
48.59386790000001,-113.0164897
40.1670806,-85.50146319999999
30.2156451,-92.24384099999999
,
30.0652774,-92.15010819999999
40.6546454,-75.4752055
38.9883143,-83.2010255
53.7904031,-1.7777386
29.948762,-92.3195894
29.7504627,-95.3523518
34.27549520000001,-118.5472573
46.410441,-120.2753816
30.2885542,-93.04640049999999
30.5688379,-92.40315869999999
37.7337442,-120.9590274
35.8123317,-78.6572157
30.559452,-92.325985
30.4056278,-92.7436501
47.5781734,-96.4207149
30.3356819,-92.7327846
33.9470067,-118.3531134
42.8899716,-73.7195109
,
30.4554773,-92.7053409
30.4319354,-85.1005787
41.2342923,-105.7176399
,
39.0687149,-108.5662111
30.4380928,-92.68052139999999
43.3833806,-98.8686793
30.2417612,-92.499717
,
30.350334,-92.73042799999999
42.1815842,-71.2033605
,
39.9579958,-82.986359
33.5823694,-102.05905
33.3908968,-112.1421947
40.7251799,-88.10528920000002
,
,
,
,
34.2366838,-116.1984143
,
,
30.3879299,-97.11056719999999
46.3086411,-124.0412043
38.4263641,-122.703288
38.9380912,-77.04493269999999
,
,
,
35.9398797,-85.78233929999999
30.257358,-91.8153339
29.1758065,-98.44471589999999
,
44.8925315,-93.3100936
30.6742767,-92.3871589
41.423882,-83.6625282
30.6898926,-92.4381963
35.7957745,-78.660673
30.3320641,-92.5269192
34.0447843,-79.05278249999999
,
,
30.4283836,-92.4605397
,
40.7123845,-73.9440359
38.9022563,-121.2510292
,
,
29.9747998,-94.02603719999999
30.566161,-92.538563
30.5493175,-92.52187909999999
30.4608698,-84.2464538
38.8720245,-77.0059124
55.592488,-120.1073414
30.8479867,-88.53713359999999
26.6877013,-80.0585358
32.406753,-99.5044271
,
41.1632873,-101.9409467
33.6401151,-112.1134509
37.929912,-84.7500139
,
,
43.3937806,-80.4396046
39.0524803,-108.4275254
,
36.76250479999999,-119.7862495
,
,
47.6654713,-122.3849351
30.046762,-100.197074
